Symbol,Signal Date,Entry Date,Entry Price,Exit Date,Exit Price,Exit Reason,Return %,Equity at Entry,Shares,PnL,Return on position %
AAVAS.NS,2025-03-05,2025-03-06,1704.9,2025-04-28,2047.9,RSI cross down,20.12,486449.83709999995,28,9604.0,20.12
AADHARHFC.NS,2025-03-06,2025-03-07,400.0,2025-03-26,406.9,RSI cross down,1.72,496053.83709999995,124,855.6,1.72
20MICRONS.NS,2025-03-06,2025-03-07,202.0,2025-03-12,198.99,RSI cross down,-1.49,496909.4370999999,245,-737.45,-1.49
ABBOTINDIA.NS,2025-03-17,2025-03-18,30176.25,2025-04-03,29800.0,RSI cross down,-1.25,496171.9870999999,1,-376.25,-1.25
20MICRONS.NS,2025-03-19,2025-03-20,202.0,2025-03-27,191.6,RSI cross down,-5.15,495795.7370999999,245,-2548.0,-5.15
3MINDIA.NS,2025-03-19,2025-03-20,28688.8496,2025-03-21,28176.5,RSI cross down,-1.79,493247.7370999999,1,-512.35,-1.79
ABREL.NS,2025-03-21,2025-03-24,2060.0,2025-03-26,1951.5,RSI cross down,-5.27,492735.3874999999,23,-2495.5,-5.27
63MOONS.NS,2025-03-21,2025-03-24,805.0,2025-04-07,731.35,RSI cross down,-9.15,490239.8874999999,60,-4419.0,-9.15
AAATECH.NS,2025-03-24,2025-03-25,84.0,2025-03-26,79.99,RSI cross down,-4.77,485820.8874999999,578,-2317.78,-4.77
AARTIIND.NS,2025-03-27,2025-03-28,395.0,2025-04-01,391.25,RSI cross down,-0.95,483503.10749999987,122,-457.5,-0.95
AADHARHFC.NS,2025-03-27,2025-03-28,425.0,2025-05-08,462.0,RSI cross down,8.71,483045.60749999987,113,4181.0,8.71
3MINDIA.NS,2025-03-28,2025-04-01,28701.0,2025-04-08,27850.0,RSI cross down,-2.97,487226.60749999987,1,-851.0,-2.97
20MICRONS.NS,2025-04-01,2025-04-02,207.0,2025-04-08,198.0,RSI cross down,-4.35,486375.60749999987,234,-2106.0,-4.35
AARTIIND.NS,2025-04-02,2025-04-03,394.0,2025-04-07,357.55,RSI cross down,-9.25,484269.60749999987,122,-4446.9,-9.25
ABB.NS,2025-04-03,2025-04-04,5325.0,2025-04-07,4684.4502,RSI cross down,-12.03,479822.70749999984,9,-5764.95,-12.03
ABMINTLLTD.NS,2025-04-04,2025-04-07,48.76,2025-04-08,48.0,RSI cross down,-1.56,474057.75929999986,972,-738.72,-1.56
ABMINTLLTD.NS,2025-04-11,2025-04-15,44.25,2025-04-17,49.25,RSI cross down,11.3,473319.0392999999,1069,5345.0,11.3
ABFRL.NS,2025-04-11,2025-04-15,258.95,2025-05-05,256.0,RSI cross down,-1.14,478664.0392999999,184,-542.8,-1.14
20MICRONS.NS,2025-04-15,2025-04-16,205.15,2025-06-04,221.1,RSI cross down,7.77,478121.2392999999,233,3716.35,7.77
21STCENMGM.NS,2025-04-15,2025-04-16,74.45,2025-05-02,71.95,RSI cross down,-3.36,481837.5892999999,647,-1617.5,-3.36
ABBOTINDIA.NS,2025-04-15,2025-04-16,30950.0,2025-04-25,30060.0,RSI cross down,-2.88,480220.0892999999,1,-890.0,-2.88
AARTECH.NS,2025-04-16,2025-04-17,61.7,2025-04-28,57.01,RSI cross down,-7.6,479330.0892999999,776,-3639.44,-7.6
360ONE.NS,2025-04-17,2025-04-21,968.0,2025-05-05,942.2,RSI cross down,-2.67,475690.6492999999,49,-1264.2,-2.67
AARVI.NS,2025-04-21,2025-04-22,106.41,2025-05-07,100.0,RSI cross down,-6.02,474426.44929999986,445,-2852.45,-6.02
3IINFOLTD.NS,2025-04-21,2025-04-22,23.73,2025-05-09,21.88,RSI cross down,-7.8,471573.99929999985,1987,-3675.95,-7.8
ABDL.NS,2025-04-22,2025-04-23,339.9,2025-04-25,327.0,RSI cross down,-3.8,467898.04929999984,137,-1767.3,-3.8
AARTIPHARM.NS,2025-04-24,2025-04-25,753.9,2025-04-28,727.2,RSI cross down,-3.54,466130.74929999985,61,-1628.7,-3.54
ABREL.NS,2025-04-29,2025-04-30,1940.0,2025-05-05,1900.0,RSI cross down,-2.06,464502.04929999984,23,-920.0,-2.06
3PLAND.NS,2025-04-29,2025-04-30,44.33,2025-05-02,41.83,RSI cross down,-5.64,463582.04929999984,1045,-2612.5,-5.64
ABBOTINDIA.NS,2025-05-02,2025-05-05,30725.0,2025-05-07,30105.0,RSI cross down,-2.02,460969.54929999984,1,-620.0,-2.02
AARTECH.NS,2025-05-05,2025-05-06,57.3,2025-05-07,53.52,RSI cross down,-6.6,460349.54929999984,803,-3035.34,-6.6
3PLAND.NS,2025-05-05,2025-05-06,46.43,2025-05-09,39.25,RSI cross down,-15.46,457314.2092999999,984,-7065.12,-15.46
AARTISURF.NS,2025-05-05,2025-05-06,444.0,2025-05-07,422.5,RSI cross down,-4.84,450249.0892999999,101,-2171.5,-4.84
ABINFRA.NS,2025-05-05,2025-05-06,10.17,2025-08-21,19.1,RSI cross down,87.81,448077.5892999999,4405,39336.65,87.81
ABDL.NS,2025-05-07,2025-05-08,321.3,2025-05-09,307.0,RSI cross down,-4.45,487414.2392999999,151,-2159.3,-4.45
ABMINTLLTD.NS,2025-05-07,2025-05-08,49.0,2025-05-12,50.5,RSI cross down,3.06,485254.9392999999,990,1485.0,3.06
ABFRL.NS,2025-05-07,2025-05-08,264.5,2025-05-12,261.0,RSI cross down,-1.32,486739.9392999999,184,-644.0,-1.32
AARTIPHARM.NS,2025-05-08,2025-05-09,729.95,2025-06-18,863.45,RSI cross down,18.29,486095.9392999999,66,8811.0,18.29
ABAN.NS,2025-05-12,2025-05-13,38.53,2025-07-10,53.59,CE SELL,39.09,494906.9392999999,1284,19337.04,39.09
ABREL.NS,2025-05-12,2025-05-13,1921.3,2025-07-08,2275.8,RSI cross down,18.45,514243.9792999999,26,9217.0,18.45
AARVI.NS,2025-05-12,2025-05-13,106.1,2025-06-05,112.85,CE SELL,6.36,523460.9792999999,493,3327.75,6.36
3PLAND.NS,2025-05-12,2025-05-13,42.9,2025-05-14,43.8,RSI cross down,2.1,526788.7292999999,1227,1104.3,2.1
360ONE.NS,2025-05-12,2025-05-13,966.0,2025-07-23,1140.0,RSI cross down,18.01,527893.0292999999,54,9396.0,18.01
AADHARHFC.NS,2025-05-13,2025-05-14,463.6,2025-05-15,450.5,RSI cross down,-2.83,537289.0292999999,115,-1506.5,-2.83
ABMINTLLTD.NS,2025-05-14,2025-05-15,50.35,2025-06-02,49.09,RSI cross down,-2.5,535782.5292999999,1064,-1340.64,-2.5
63MOONS.NS,2025-05-14,2025-05-15,780.0,2025-07-29,1002.5,RSI cross down,28.53,534441.8892999999,68,15130.0,28.53
ABBOTINDIA.NS,2025-05-16,2025-05-19,30800.0,2025-05-27,30450.0,RSI cross down,-1.14,549571.8892999999,1,-350.0,-1.14
AARON.NS,2025-05-16,2025-05-19,186.0,2025-06-20,195.4,RSI cross down,5.05,549221.8892999999,295,2773.0,5.05
21STCENMGM.NS,2025-05-16,2025-05-19,73.4,2025-05-21,73.25,RSI cross down,-0.2,551994.8892999999,752,-112.8,-0.2
A2ZINFRA.NS,2025-05-21,2025-05-22,17.03,2025-08-05,20.18,RSI cross down,18.5,551882.0892999999,3240,10206.0,18.5
3PLAND.NS,2025-05-27,2025-05-28,46.83,2025-07-08,49.65,RSI cross down,6.02,562088.0892999999,1200,3384.0,6.02
21STCENMGM.NS,2025-05-28,2025-05-29,72.35,2025-06-02,69.6,RSI cross down,-3.8,565472.0892999999,781,-2147.75,-3.8
ABBOTINDIA.NS,2025-06-03,2025-06-04,31395.0,2025-06-20,31100.0,RSI cross down,-0.94,563324.3392999999,1,-295.0,-0.94
AARTECH.NS,2025-06-05,2025-06-06,57.0,2025-07-04,65.94,CE SELL,15.68,563029.3392999999,987,8823.78,15.68
AAVAS.NS,2025-06-06,2025-06-09,1934.0,2025-06-11,1894.9,RSI cross down,-2.02,571853.1192999999,29,-1133.9,-2.02
AAVAS.NS,2025-06-24,2025-06-25,1907.0,2025-06-26,1885.0,RSI cross down,-1.15,570719.2192999999,29,-638.0,-1.15
20MICRONS.NS,2025-06-24,2025-06-25,228.0,2025-07-04,224.15,RSI cross down,-1.69,570081.2192999999,250,-962.5,-1.69
ABBOTINDIA.NS,2025-06-24,2025-06-25,31560.0,2025-07-28,33785.0,RSI cross down,7.05,569118.7192999999,1,2225.0,7.05
AARTIPHARM.NS,2025-06-30,2025-07-01,898.3,2025-07-29,922.95,RSI cross down,2.74,571343.7192999999,63,1552.95,2.74
AADHARHFC.NS,2025-06-30,2025-07-01,455.15,2025-07-09,451.65,RSI cross down,-0.77,572896.6692999998,125,-437.5,-0.77
AADHARHFC.NS,2025-07-14,2025-07-15,459.5,2025-08-29,497.0,RSI cross down,8.16,572459.1692999998,124,4650.0,8.16
AAATECH.NS,2025-07-15,2025-07-16,91.65,2025-07-28,86.96,CE SELL,-5.12,577109.1692999998,629,-2950.01,-5.12
20MICRONS.NS,2025-07-16,2025-07-17,259.9,2025-07-29,236.5,RSI cross down,-9.0,574159.1592999998,220,-5148.0,-9.0
AARON.NS,2025-07-17,2025-07-18,202.6,2025-08-12,205.0,RSI cross down,1.18,569011.1592999998,280,672.0,1.18
ABBOTINDIA.NS,2025-07-29,2025-07-30,34600.0,2025-08-04,33595.0,RSI cross down,-2.9,569683.1592999998,1,-1005.0,-2.9
AARTISURF.NS,2025-07-30,2025-07-31,540.65,2025-08-07,504.2,RSI cross down,-6.74,568678.1592999998,105,-3827.25,-6.74
ABCAPITAL.NS,2025-08-04,2025-08-05,279.0,2025-08-11,271.9,RSI cross down,-2.54,564850.9092999998,202,-1434.2,-2.54
AARVI.NS,2025-08-13,2025-08-14,134.0,2025-10-01,123.17,CE SELL,-8.08,563416.7092999999,420,-4548.6,-8.08
AARON.NS,2025-08-14,2025-08-18,228.175,2025-08-20,215.5,RSI cross down,-5.55,558868.1092999999,244,-3092.7,-5.55
3MINDIA.NS,2025-08-18,2025-08-19,30450.0,2025-08-28,30600.0,RSI cross down,0.49,555775.4092999999,1,150.0,0.49
ABCAPITAL.NS,2025-08-18,2025-08-19,284.75,2025-08-28,283.0,RSI cross down,-0.61,555925.4092999999,195,-341.25,-0.61
AARON.NS,2025-08-21,2025-08-22,218.5,2025-08-25,230.0,RSI cross down,5.26,555584.1592999999,254,2921.0,5.26
ABAN.NS,2025-08-22,2025-08-25,51.99,2025-09-02,45.51,RSI cross down,-12.46,558505.1592999999,1074,-6959.52,-12.46
ABFRL.NS,2025-08-22,2025-08-25,81.44,2025-09-29,85.75,CE SELL,5.29,551545.6392999999,677,2917.87,5.29
ABINFRA.NS,2025-08-28,2025-08-29,19.16,2025-09-11,20.701,RSI cross down,8.04,554463.5092999999,2893,4458.11,8.04
ABDL.NS,2025-08-29,2025-09-01,508.9,2025-09-04,496.0,RSI cross down,-2.53,558921.6222999999,109,-1406.1,-2.53
3MINDIA.NS,2025-08-29,2025-09-01,30510.0,2025-09-05,30500.0,RSI cross down,-0.03,557515.5223,1,-10.0,-0.03
AAKASH.NS,2025-09-01,2025-09-02,10.45,2025-09-04,10.8,RSI cross down,3.35,557505.5223,5334,1866.9,3.35
AAREYDRUGS.NS,2025-09-02,2025-09-03,68.0,2025-11-24,88.1,RSI cross down,29.56,559372.4223,822,16522.2,29.56
ABCAPITAL.NS,2025-09-08,2025-09-09,289.0,2025-09-18,286.95,RSI cross down,-0.71,575894.6222999999,199,-407.95,-0.71
3MINDIA.NS,2025-09-08,2025-09-09,30840.0,2025-09-11,30870.0,RSI cross down,0.1,575486.6723,1,30.0,0.1
ABDL.NS,2025-09-08,2025-09-09,512.4,2025-09-10,511.55,RSI cross down,-0.17,575516.6723,112,-95.2,-0.17
AARTIPHARM.NS,2025-09-09,2025-09-10,914.9,2025-09-19,899.0,RSI cross down,-1.74,575421.4723,62,-985.8,-1.74
ABDL.NS,2025-09-11,2025-09-12,535.0,2025-09-24,531.7,RSI cross down,-0.62,574435.6723,107,-353.1,-0.62
AARTISURF.NS,2025-09-16,2025-09-17,506.0,2025-09-22,488.8,RSI cross down,-3.4,574082.5723,113,-1943.6,-3.4
ABREL.NS,2025-09-16,2025-09-17,1947.5,2025-09-24,1847.1,RSI cross down,-5.16,572138.9723,29,-2911.6,-5.16
