Symbol,Signal Date,Entry Date,Entry Price,Exit Date,Exit Price,Exit Reason,Return %,Equity at Entry,Shares,PnL,Return on position %
ABFRL.NS,2025-05-22,2025-05-23,91.0,2025-08-25,81.44,RSI cross up,10.51,487017.1311999999,535,5114.6,10.51
21STCENMGM.NS,2025-05-22,2025-05-23,70.93,2025-05-28,71.55,CE BUY,-0.87,492131.73119999986,693,-429.66,-0.87
21STCENMGM.NS,2025-05-30,2025-06-02,69.6,2025-07-08,61.5,CE BUY,11.64,491702.0711999999,706,5718.6,11.64
AAREYDRUGS.NS,2025-06-04,2025-06-05,50.98,2025-06-06,51.06,RSI cross up,-0.16,497420.67119999987,975,-78.0,-0.16
3MINDIA.NS,2025-06-11,2025-06-12,29495.0,2025-07-08,29270.0,RSI cross up,0.76,497342.67119999987,1,225.0,0.76
ABMINTLLTD.NS,2025-06-13,2025-06-16,48.15,2025-06-18,50.26,RSI cross up,-4.38,497567.67119999987,1033,-2179.63,-4.38
AARTIIND.NS,2025-06-19,2025-06-20,435.35,2025-06-25,456.45,RSI cross up,-4.85,495388.04119999986,113,-2384.3,-4.85
AARTIPHARM.NS,2025-06-19,2025-06-20,846.75,2025-07-01,898.3,RSI cross up,-6.09,493003.7411999999,58,-2989.9,-6.09
ABMINTLLTD.NS,2025-06-20,2025-06-23,45.1,2025-06-24,49.9,RSI cross up,-10.64,490013.84119999985,1086,-5212.8,-10.64
AARTIDRUGS.NS,2025-06-23,2025-06-24,436.0,2025-06-25,439.0,RSI cross up,-0.69,484801.04119999986,111,-333.0,-0.69
AAATECH.NS,2025-06-27,2025-06-30,82.5,2025-07-02,83.98,RSI cross up,-1.79,484468.04119999986,587,-868.76,-1.79
AAATECH.NS,2025-07-03,2025-07-04,83.11,2025-07-08,84.14,RSI cross up,-1.24,483599.28119999985,581,-598.43,-1.24
AAVAS.NS,2025-07-04,2025-07-07,1908.8,2025-07-09,1970.0,RSI cross up,-3.21,483000.85119999986,25,-1530.0,-3.21
3IINFOLTD.NS,2025-07-07,2025-07-08,24.19,2025-07-17,25.74,RSI cross up,-6.41,481470.85119999986,1990,-3084.5,-6.41
ABREL.NS,2025-07-07,2025-07-08,2275.8,2025-09-17,1947.5,RSI cross up,14.43,478386.35119999986,21,6894.3,14.43
AARON.NS,2025-07-07,2025-07-08,187.125,2025-07-18,202.6,RSI cross up,-8.27,485280.65119999985,259,-4008.02,-8.27
3PLAND.NS,2025-07-07,2025-07-08,49.65,2025-07-10,50.83,RSI cross up,-2.38,481272.6261999998,969,-1143.42,-2.38
AAATECH.NS,2025-07-09,2025-07-10,82.46,2025-07-11,82.7,RSI cross up,-0.29,480129.20619999984,582,-139.68,-0.29
AARTIIND.NS,2025-07-10,2025-07-11,448.0,2025-07-17,457.6,RSI cross up,-2.14,479989.52619999985,107,-1027.2,-2.14
20MICRONS.NS,2025-07-11,2025-07-14,224.0,2025-07-17,259.9,RSI cross up,-16.03,478962.32619999984,213,-7646.7,-16.03
AARVI.NS,2025-07-11,2025-07-14,108.95,2025-08-14,134.0,RSI cross up,-22.99,471315.6261999998,432,-10821.6,-22.99
ABB.NS,2025-07-11,2025-07-14,5756.5,2025-07-22,5850.5,RSI cross up,-1.63,460494.02619999985,7,-658.0,-1.63
AAVAS.NS,2025-07-16,2025-07-17,1920.0,2025-09-16,1670.3,CE BUY,13.01,459836.02619999985,23,5743.1,13.01
ABAN.NS,2025-07-17,2025-07-18,50.2,2025-07-22,51.0,RSI cross up,-1.59,465579.1261999998,927,-741.6,-1.59
AARTIIND.NS,2025-07-18,2025-07-21,447.0,2025-10-27,383.0,RSI cross up,14.32,464837.52619999985,103,6592.0,14.32
360ONE.NS,2025-07-22,2025-07-23,1140.0,2025-09-17,1090.7,RSI cross up,4.32,471429.52619999985,41,2021.3,4.32
ABAN.NS,2025-07-23,2025-07-24,50.51,2025-08-21,46.8,RSI cross up,7.35,473450.82619999984,937,3476.27,7.35
ABB.NS,2025-07-23,2025-07-24,5711.0,2025-09-12,5224.0,RSI cross up,8.53,476927.09619999985,8,3896.0,8.53
3IINFOLTD.NS,2025-07-23,2025-07-24,24.13,2025-07-30,24.4,RSI cross up,-1.12,480823.09619999985,1992,-537.84,-1.12
ABCAPITAL.NS,2025-07-25,2025-07-28,259.0,2025-08-05,279.0,RSI cross up,-7.72,480285.2561999998,185,-3700.0,-7.72
AAREYDRUGS.NS,2025-07-28,2025-07-29,63.11,2025-08-01,66.95,RSI cross up,-6.08,476585.2561999998,755,-2899.2,-6.08
AAATECH.NS,2025-07-28,2025-07-29,83.22,2025-07-30,88.5,RSI cross up,-6.34,473686.0561999998,569,-3004.32,-6.34
20MICRONS.NS,2025-07-28,2025-07-29,236.5,2025-07-30,254.3,RSI cross up,-7.53,470681.7361999998,199,-3542.2,-7.53
AARTECH.NS,2025-07-29,2025-07-30,67.01,2025-10-20,59.89,RSI cross up,10.63,467139.5361999998,697,4962.64,10.63
20MICRONS.NS,2025-07-31,2025-08-01,234.41,2025-08-05,244.33,RSI cross up,-4.23,472102.1761999998,201,-1993.92,-4.23
AARTIDRUGS.NS,2025-08-01,2025-08-04,491.9,2025-08-08,506.95,RSI cross up,-3.06,470108.2561999998,95,-1429.75,-3.06
3IINFOLTD.NS,2025-08-01,2025-08-04,23.43,2025-08-25,23.77,RSI cross up,-1.45,468678.5061999998,2000,-680.0,-1.45
AAATECH.NS,2025-08-04,2025-08-05,85.0,2025-08-06,84.28,RSI cross up,0.85,467998.5061999998,550,396.0,0.85
A2ZINFRA.NS,2025-08-04,2025-08-05,20.18,2025-09-02,19.95,RSI cross up,1.14,468394.5061999998,2321,533.83,1.14
ABMINTLLTD.NS,2025-08-05,2025-08-06,55.71,2025-09-04,46.12,CE BUY,17.21,468928.33619999985,841,8065.19,17.21
AARON.NS,2025-08-11,2025-08-12,205.0,2025-08-14,214.825,CE BUY,-4.79,476993.52619999985,232,-2279.4,-4.79
AAATECH.NS,2025-08-11,2025-08-12,84.89,2025-09-25,81.9,RSI cross up,3.52,474714.1261999998,559,1671.41,3.52
AAREYDRUGS.NS,2025-08-11,2025-08-12,65.89,2025-09-03,68.0,RSI cross up,-3.2,476385.5361999998,723,-1525.53,-3.2
AARTIDRUGS.NS,2025-08-19,2025-08-20,490.75,2025-09-10,493.7,RSI cross up,-0.6,474860.00619999977,96,-283.2,-0.6
20MICRONS.NS,2025-08-20,2025-08-21,237.6,2025-12-24,200.8,RSI cross up,15.49,474576.80619999976,199,7323.2,15.49
AARON.NS,2025-08-26,2025-08-28,214.45,2025-10-28,208.45,RSI cross up,2.8,481900.00619999977,224,1344.0,2.8
3IINFOLTD.NS,2025-08-26,2025-08-28,23.06,2025-09-03,23.69,RSI cross up,-2.73,483244.00619999977,2095,-1319.85,-2.73
AADHARHFC.NS,2025-08-28,2025-08-29,497.0,2025-09-03,505.5,RSI cross up,-1.71,481924.1561999998,96,-816.0,-1.71
3IINFOLTD.NS,2025-09-04,2025-09-05,23.19,2025-09-08,23.33,RSI cross up,-0.6,481108.1561999998,2074,-290.36,-0.6
5PAISA.NS,2025-09-10,2025-09-11,366.1,2025-11-19,344.0,RSI cross up,6.04,480817.7961999998,131,2895.1,6.04
AADHARHFC.NS,2025-09-11,2025-09-12,507.5,2025-09-16,523.95,RSI cross up,-3.24,483712.8961999998,95,-1562.75,-3.24
3IINFOLTD.NS,2025-09-22,2025-09-23,23.031,2025-12-23,17.38,RSI cross up,24.54,482150.1461999998,2093,11827.54,24.54
ABAN.NS,2025-09-25,2025-09-26,42.91,2025-10-23,41.6,RSI cross up,3.05,493977.6891999998,1151,1507.81,3.05
AARTIDRUGS.NS,2025-09-26,2025-09-29,478.0,2025-10-08,509.8,RSI cross up,-6.65,495485.4991999998,103,-3275.4,-6.65
ABB.NS,2025-10-08,2025-10-09,5120.0,2025-10-13,5160.0,RSI cross up,-0.78,492210.09919999976,9,-360.0,-0.78
AARVI.NS,2025-10-17,2025-10-20,119.0,2025-10-29,121.0,RSI cross up,-1.68,491850.09919999976,413,-826.0,-1.68
AAATECH.NS,2025-10-17,2025-10-20,84.64,2025-10-23,88.47,RSI cross up,-4.53,491024.09919999976,580,-2221.4,-4.53
AADHARHFC.NS,2025-10-27,2025-10-28,513.45,2026-01-05,504.95,RSI cross up,1.66,488802.69919999974,95,807.5,1.66
AARTIIND.NS,2025-10-28,2025-10-29,377.95,2025-10-30,387.0,RSI cross up,-2.39,489610.19919999974,129,-1167.45,-2.39
ABREL.NS,2025-10-28,2025-10-29,1695.0,2025-10-30,1808.9,RSI cross up,-6.72,488442.74919999973,28,-3189.2,-6.72
